split,accuracy,precision,recall,log_loss
train,0.5655948651802715,0.6045634344355092,0.24140054103604633,0.6802339675490414
validation,0.5563524967753823,0.5334609492111948,0.23247094108890068,0.6847304668595279
test,0.5573152754744795,0.5188983304244885,0.23112818409068403,0.6844399079844119
